C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:13:31

spstring~'A' & nbref>=50
------------------------

Number of objects : 2484

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
1   |V* V1610 Cyg                       |pA*|21 02 18.27 +36 41 37.0                |     ~|     ~|     ~|     ~|     ~|F5Iae                 | 833|   1
2   |HD 203856                          |*  |21 23 35.5297106889 +40 01 07.021382015|     ~| 7.33 | 7.21 |     ~|     ~|A0V                   |  77|   0
3   |* sig Cyg                          |sg*|21 17 24.9524404 +39 23 40.852798      | 3.98 | 4.37 | 4.24 | 4.06 | 3.92 |A0Ia                  | 250|   0
4   |* 74 Cyg                           |*  |21 36 56.9705050843 +40 24 48.581844298|     ~| 5.220| 5.035|     ~|     ~|A3Vn                  |  75|   0
5   |HD 207673                          |*  |21 49 40.0940878996 +41 08 55.627207171| 6.97 | 6.90 | 6.48 |     ~|     ~|A2Ib                  |  72|   0
6   |* 77 Cyg                           |SB*|21 42 22.9588733 +41 04 37.273655      |     ~| 5.777| 5.726|     ~|     ~|A0V+A0V               | 113|   0
7   |HD 216608                          |** |22 53 40.1607383513 +44 44 56.958518468|     ~| 6.075| 5.808|     ~|     ~|kA3VmF2III/IVp        | 126|   0
8   |V* ET And                          |a2*|23 17 56.0111846905 +45 29 20.119666660|     ~| 6.447| 6.479|     ~|     ~|A0VpSiSr              | 139|   0
9   |HD 222326                          |** |23 39 20.7989162 +45 43 11.666221      | 8.330| 8.060| 7.630|     ~|     ~|A2IV                  |  65|   1
10  |V* CG And                          |a2*|00 00 43.6345982441 +45 15 12.002223317|     ~| 6.299| 6.347|     ~|     ~|A0IIspSiSrHg          | 146|   0
11  |* pi. Cas                          |SB*|00 43 28.0688272805 +47 01 28.376558640|     ~| 5.120| 4.949|     ~| 4.79 |A5V                   |  73|   0
12  |V* GO And                          |a2*|00 50 18.2656316714 +45 00 08.143912427| 6.13 | 6.16 | 6.15 |     ~|     ~|A3VpSiSrCrEuKsn       | 113|   0
13  |* 41 And                           |PM*|01 08 00.8495526394 +43 56 31.515796576|     ~|     ~|     ~| 4.9  |     ~|A3m                   |  70|   0
14  |V* HN And                          |a2*|01 24 18.6762637253 +43 08 31.629302597|     ~| 6.704| 6.676|     ~|     ~|A4VpSrSi              | 132|   0
15  |V* CI And                          |RR*|01 55 08.2937601467 +43 45 56.491566146|     ~|12.47 |12.07 |     ~|     ~|A8                    |  55|   0
