C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST22:17:00

spstring~'G' & nbref>=30
------------------------

Number of objects : 3976

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|----|----
1   |V* V387 Cyg                        |Al*|21 15 37.3603108200 +37 29 51.593240224|     ~|11.58 |11.19 |     ~|     ~|G5                   |  34|   0
2   |HD 207966                          |PM*|21 51 52.9320100926 +42 20 37.954075506|     ~|     ~|     ~| 8.41 |     ~|G8+M1                |  43|   0
3   |HD 213519                          |PM*|22 31 05.7242561984 +45 08 42.354396019|     ~|     ~|     ~| 7.3  |     ~|G5                   |  39|   0
4   |HD 214558                          |** |22 38 17.3936274342 +45 10 58.572991766| 7.570| 7.130| 6.370|     ~|     ~|G6III+kA5.5:hA8.5:mF0|  35|   0
5   |HD 218868                          |PM*|23 10 50.0784788822 +45 30 44.175510203| 8.150| 7.750|     ~| 6.5  |     ~|G8V                  |  64|   0
6   |HD 220821                          |PM*|23 26 40.3584465025 +45 20 17.307352022|     ~| 8.01 |     ~| 7.0  |     ~|G2                   |  43|   0
7   |* psi And                          |** |23 46 02.0469653187 +46 25 12.972436405|     ~| 6.064| 4.966|     ~|     ~|G3Ib-II              | 175|   0
8   |HD 222143                          |BY*|23 37 58.4877827270 +46 11 57.962198837| 7.400| 7.230|     ~| 6.2  |     ~|G2                   | 111|   0
9   |* lam And                          |RS*|23 37 33.8426114 +46 27 29.337984      | 5.54 | 4.84 | 3.82 | 3.04 | 2.47 |G8IVk                | 640|   0
10  |HD 224165                          |*  |23 55 33.4754811441 +47 21 20.892776880|     ~| 7.161| 5.989|     ~|     ~|G8Ib                 |  43|   0
11  |V* CG And                          |a2*|00 00 43.6345982441 +45 15 12.002223317|     ~| 6.299| 6.347|     ~|     ~|A0IIspSiSrHg         | 146|   0
12  |HD 2675                            |** |00 30 45.56432 +47 31 47.5458          |     ~| 8.36 | 7.75 | 8.56 |     ~|G0                   |  36|   0
13  |HD 1918                            |*  |00 23 43.2408618126 +45 05 20.900178412|     ~| 8.59 | 7.62 |     ~|     ~|G9III                |  32|   0
14  |HD 4335                            |*  |00 46 10.8107162878 +44 51 41.395630497| 5.71 | 5.954| 6.024|     ~|     ~|B9.5IIIp(HgMn)       |  66|   0
15  |HD 5916                            |PM*|01 01 19.0238887119 +45 27 07.391902129|     ~| 7.749| 6.863|     ~|     ~|G8III-IV             |  73|   0
16  |* chi And                          |SB*|01 39 20.9882801730 +44 23 10.199584793|     ~| 5.886| 5.008|     ~|     ~|G8III                |  77|   0
17  |HD 10307                           |SB*|01 41 47.1431421954 +42 36 48.443521767| 5.69 | 5.58 | 4.96 | 4.43 | 4.10 |G1V                  | 468|   0
18  |V* V450 And                        |BY*|02 12 54.9902695034 +40 40 06.222270192|     ~| 7.880| 7.21 | 7.71 |     ~|G5V                  |  87|   1
19  |HD 13531                           |BY*|02 13 13.3349094139 +40 30 27.317791786|     ~| 8.06 | 7.36 |     ~|     ~|G7V                  |  71|   0
20  |HD 16004                           |*  |02 35 27.9012589067 +39 39 51.770548803|     ~| 6.258| 6.345|     ~|     ~|B9.5IIIpHg?          |  46|   0
21  |HD 16760                           |** |02 42 21.3071467622 +38 37 07.139224707|     ~| 9.45 | 8.76 |     ~|     ~|G2V                  |  68|   1
22  |HD 19308                           |PM*|03 07 39.4036482330 +36 37 03.435591779|     ~|     ~|     ~| 6.9  |     ~|G0                   |  67|   0
23  |V* VX Cyg                          |cC*|20 57 20.8298754013 +40 10 39.008480366|     ~|11.6  |10.08 |     ~| 8.187|F5e-G2I-II           | 118|   1
24  |V* VY Cyg                          |cC*|21 04 16.6365398971 +39 58 20.104204896|11.74 |10.66 | 9.56 |     ~| 8.090|F5.5-G0.5Ib          | 122|   0
25  |HD 202568                          |PM*|21 15 27.2376330045 +42 01 34.970401835| 8.080| 7.510| 6.600|     ~|     ~|G0                   |  33|   0
26  |V* V386 Cyg                        |cC*|21 14 40.4339518156 +41 42 58.844202279|     ~|11.12 | 9.75 |     ~| 7.750|F5.5-G0Ib            | 109|   1
27  |V* VZ Cyg                          |cC*|21 51 41.4415144699 +43 08 02.538005456|     ~|10.02 | 8.60 |     ~| 7.948|G0                   | 153|   0
28  |HD 207739                          |SB*|21 49 58.8415737575 +43 57 56.833556720|     ~| 9.22 | 8.59 |     ~|     ~|kF0:mGepec           |  62|   0
29  |HD 207218                          |*  |21 46 16.6042135307 +43 03 38.764252112| 6.990| 6.800| 6.530|     ~|     ~|G8III+A2II-III:      |  33|   0
30  |V* RT Lac                          |RS*|22 01 30.7407751260 +43 53 25.640188873|     ~|10.092| 8.84 |     ~|     ~|G9+K1IVIV            | 263|   0
31  |V* V443 Lac                        |Ro*|22 02 05.3897514666 +44 20 35.400618618|     ~| 8.64 | 7.94 |     ~|     ~|G5                   |  47|   0
32  |V* V2075 Cyg                       |RS*|21 55 14.4585934968 +44 25 06.904402244|     ~| 8.56 | 7.49 |     ~|     ~|G8III                |  35|   0
33  |V* CN Lac                          |bL*|22 06 08.4981681943 +46 18 35.183652244|     ~|12.67 |12.05 |     ~|     ~|G3                   |  31|   0
34  |V* AR Lac                          |RS*|22 08 40.8180372773 +45 44 32.104045703| 7.09 | 6.83 | 6.11 |     ~|     ~|K0IVe+G5IV           | 696|   0
35  |HD 212029                          |SB*|22 20 23.8650976244 +46 25 05.823238138|     ~|     ~|     ~| 8.2  |     ~|G0                   |  44|   0
36  |HD 215242                          |** |22 43 04.32021 +47 10 07.5091          |     ~|     ~| 8.43 | 7.17 |     ~|G8III+B7/8IV:        |  52|   0
37  |HD 218739                          |PM*|23 09 58.8745504105 +47 57 33.849911006|     ~|     ~|     ~| 6.7  |     ~|G1V                  |  60|   0
38  |HD 222155                          |PM*|23 38 00.3072118024 +48 59 47.486499625|     ~| 7.76 |     ~| 6.7  |     ~|G0                   |  55|   1
39  |HD 224465                          |PM*|23 58 06.8133108304 +50 26 51.641943551|     ~| 7.30 |     ~| 6.3  |     ~|G4V                  |  59|   0
40  |* 49 And                           |*  |01 30 06.1015438480 +47 00 26.186042565|     ~| 6.261| 5.261|     ~|     ~|G9III                |  70|   0
41  |HD 10086                           |PM*|01 39 36.0178939231 +45 52 39.986465984|     ~| 7.30 |     ~| 6.2  |     ~|G5V                  |  87|   0
42  |HD 13931                           |PM*|02 16 47.3784111993 +43 46 22.789604279|     ~|     ~|     ~| 7.2  |     ~|G0                   |  69|   1
43  |HD 15753                           |PM*|02 33 09.6680527890 +42 53 46.258655237|     ~| 7.86 | 7.15 |     ~|     ~|G0                   |  34|   0
44  |HD 16693                           |*  |02 41 56.7425192840 +42 47 23.325600284|     ~| 8.52 | 8.52 |     ~|     ~|B9IIInpHgMn          |  41|   0
45  |HD 16175                           |PM*|02 37 01.9111510043 +42 03 45.469631505|     ~| 7.92 | 7.28 |     ~|     ~|G2                   |  57|   1
