C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.16CEST00:02:29

spstring~'M' & nbref>=30
------------------------

Number of objects : 3588

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
1   |G 211-14                           |** |21 14 46.8667784652 +38 01 14.301104748|     ~|13.32 |11.946|11.63 |     ~|M2.5Ve                |  38|   1
2   |L 1578-44                          |Ro*|21 36 38.5805432822 +39 27 20.498540853|     ~|     ~|     ~|     ~|     ~|M0V                   |  39|   0
3   |HD 206749                          |V* |21 43 06.4707261797 +41 09 17.898182462|     ~| 7.106| 5.505|     ~|     ~|M2IIIbCa1             |  35|   0
4   |HD 207966                          |PM*|21 51 52.9320100926 +42 20 37.954075506|     ~|     ~|     ~| 8.41 |     ~|G8+M1                 |  43|   0
5   |G 215-20                           |PM*|21 53 59.0017316769 +41 46 44.474771062|     ~|11.68 |     ~| 9.846|     ~|M0.5V                 |  66|   0
6   |V* EV Lac                          |Er*|22 46 49.7311740821 +44 20 02.372223230|     ~|11.85 |10.26 | 9.89 |     ~|M4.0V                 | 804|   2
7   |HD 214558                          |** |22 38 17.3936274342 +45 10 58.572991766| 7.570| 7.130| 6.370|     ~|     ~|G6III+kA5.5:hA8.5:mF0 |  35|   0
8   |HD 216608                          |** |22 53 40.1607383513 +44 44 56.958518468|     ~| 6.075| 5.808|     ~|     ~|kA3VmF2III/IVp        | 126|   0
9   |BD+45 4188                         |PM*|23 18 17.9360759291 +46 17 21.442958500|     ~|     ~|     ~|10.417|     ~|M0.5Ve                |  46|   0
10  |HD 38B                             |PM*|00 05 41.0028191882 +45 48 37.353508088|     ~|10.34 | 8.995|     ~|     ~|M0.5V                 | 107|   0
11  |HD 38                              |** |00 05 41.01985 +45 48 43.5072          |10.86 | 9.645| 8.217| 8.30 |     ~|K6V+M0.5V             |  81|   0
12  |BD+44 4548                         |PM*|00 05 10.8891772602 +45 47 11.639549811|     ~|11.45 |     ~| 9.2  |     ~|M2Ve                  | 134|   0
13  |2MASSI J0019262+461407             |LM*|00 19 26.2673571201 +46 14 07.786957453|     ~|     ~|20.0  |     ~|     ~|M8                    |  31|   0
14  |HD 4335                            |*  |00 46 10.8107162878 +44 51 41.395630497| 5.71 | 5.954| 6.024|     ~|     ~|B9.5IIIp(HgMn)        |  66|   0
15  |LP 193-564                         |** |00 48 58.265808 +44 35 08.57904        |     ~|14.66 |13.07 |12.60 |10.45 |M3                    |  30|   0
16  |* 41 And                           |PM*|01 08 00.8495526394 +43 56 31.515796576|     ~|     ~|     ~| 4.9  |     ~|A3m                   |  70|   0
17  |BD+40 883B                         |PM*|21 00 05.432381 +40 04 13.24362        |     ~|     ~|     ~|     ~|     ~|M0.5Ve                |  60|   0
18  |BD+40 883                          |Er*|21 00 05.3890094352 +40 04 12.684002015|     ~|11.59 | 9.97 | 9.63 | 7.96 |M2.0V+M0.5Ve          | 164|   0
19  |V* V1070 Cyg                       |LP*|21 22 48.6057301373 +40 55 57.167869650|     ~| 8.325| 7.155|     ~|     ~|M7III                 |  37|   0
20  |* 75 Cyg                           |** |21 40 11.1079466463 +43 16 25.816084713|     ~| 6.682| 5.086|     ~|     ~|M1IIIab               |  59|   0
21  |G 215-12                           |PM*|21 44 53.9918673368 +44 17 08.905809769|     ~|12.61 |11.342|10.919| 9.25 |M2+V                  |  32|   0
22  |HD 207739                          |SB*|21 49 58.8415737575 +43 57 56.833556720|     ~| 9.22 | 8.59 |     ~|     ~|kF0:mGepec            |  62|   0
23  |V* CM Lac                          |Al*|22 00 04.4502413302 +44 33 07.733687353|     ~| 8.40 | 8.21 |     ~|     ~|A3m                   | 153|   0
24  |V* HT Lac                          |LP*|22 05 16.4994393197 +46 44 41.397523525| 9.50 | 7.74 | 6.13 | 4.47 | 2.91 |M4III                 |  43|   0
25  |* 8 And                            |V* |23 17 44.6457610150 +49 00 55.087878455| 8.50 | 6.53 | 4.86 | 3.40 | 2.14 |M2.5IIIBa0.5          | 100|   0
26  |V* Z And                           |Sy*|23 33 39.9551345052 +48 49 05.973842875| 8.86 | 9.35 | 8.00 |     ~|     ~|M2III+B1eq            | 502|   0
