C.D.S.  -  SIMBAD4 rel 1.7  -  2020.10.15CEST21:52:06

spstring~'O' & nbref>=10
------------------------

Number of objects : 2847

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |            spec. type             |#bib|#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|-----------------------------------|----|----
1   |HD 206267A                         |** |21 38 57.61 +57 29 20.5                |     ~|     ~| 5.62 |     ~|     ~|O6.5V((f))+O9/B0V                  |  39|   0
2   |PN Vy 2-3                          |PN |23 22 57.9041909556 +46 53 58.073615908|     ~|     ~|     ~|     ~|     ~|O(H)3-4I                           |  80|   0
3   |HD 14633                           |SB*|02 22 54.2920198726 +41 28 47.723244543| 6.14 | 8.79 | 8.73 | 8.69 |     ~|ON8.5V                             | 207|   0
4   |KUV 02445+3633                     |HS*|02 47 34.9990353348 +36 45 50.362716111|     ~|12.82 |13.01 |13.27 |     ~|sdOHe                              |  10|   0
5   |GRO J2058+42                       |HXB|20 58 47.5371693693 +41 46 37.180557326|     ~|15.97 |14.74 |14.74 |13.35 |O9.5-B0IV-Ve                       |  63|   0
6   |HD 202124                          |s*b|21 12 28.3896915394 +44 31 54.125407798| 7.33 | 7.94 | 7.76 |     ~|     ~|O9Iab                              |  89|   0
7   |* 68 Cyg                           |SB*|21 18 27.1855667264 +43 56 45.388423736| 4.05 | 4.99 | 5.00 |     ~|     ~|O7.5IIIn((f))                      | 359|   0
8   |KPD 0005+5106                      |WD*|00 08 18.1706793307 +51 23 16.594540226|11.80 |13.04 |13.32 |13.53 |     ~|DOZ1                               | 115|   0
9   |V* AO Cas                          |WU*|00 17 43.0629024684 +51 25 59.115602831| 5.04 | 6.01 | 6.14 |     ~|     ~|O9.2II+O8V((f))                    | 318|   0
10  |BD+44 493                          |Pe*|02 26 49.7388403813 +44 57 46.526253277|     ~| 9.63 | 9.11 |     ~|     ~|CEMP-no                            |  84|   0
11  |HD 229196                          |Pu*|20 23 10.7833240392 +40 52 29.839468216| 9.29 | 9.32 | 8.59 |     ~|     ~|O6II(f)                            | 111|   0
12  |BD+40 4179                         |*  |20 27 43.6153296461 +40 35 43.510284947| 9.79 |10.21 | 9.71 |     ~|     ~|O8Vz                               |  31|   0
13  |HD 195213                          |*  |20 28 32.0275928856 +40 49 02.896830393| 9.32 | 9.55 | 8.82 |     ~|     ~|O7                                 |  39|   0
